date,hour,Frequency,type,helpLevel
2022/5/12,11,1,total,acute
2022/5/12,13,2,total,critical
2022/5/12,13,1,total,acute
2022/5/12,14,1,total,critical
2022/5/12,15,1,total,critical
2022/5/12,15,1,total,acute
2022/5/12,17,1,total,critical
2022/5/12,17,2,total,acute
2022/5/12,18,2,total,critical
2022/5/12,18,2,total,acute
2022/5/12,19,1,total,critical
2022/5/12,20,1,total,critical
2022/5/12,20,1,total,acute
2022/5/12,21,1,total,acute
2022/5/12,22,1,total,critical
2022/5/12,23,1,total,critical
2022/5/12,23,1,total,acute
2022/5/13,4,1,total,critical
2022/5/13,6,1,total,critical
2022/5/13,6,1,total,acute
2022/5/13,7,1,total,critical
2022/5/13,8,1,total,critical
2022/5/13,9,2,total,critical
2022/5/13,9,1,total,acute
2022/5/13,10,1,total,critical
2022/5/13,10,1,total,urgent
2022/5/13,12,3,total,critical
2022/5/13,12,1,total,acute
2022/5/13,13,2,total,critical
2022/5/13,13,1,total,acute
2022/5/13,14,1,total,acute
2022/5/13,14,1,total,urgent
2022/5/13,15,1,total,acute
2022/5/13,16,2,total,critical
2022/5/13,16,2,total,acute
2022/5/13,17,3,total,critical
2022/5/13,18,2,total,critical
2022/5/13,18,1,total,acute
2022/5/13,18,1,total,urgent
2022/5/13,21,1,total,acute
2022/5/13,23,1,total,acute
2022/5/14,24,1,total,acute
2022/5/14,1,1,total,acute
2022/5/14,10,2,total,critical
2022/5/14,11,1,total,critical
2022/5/14,11,1,total,urgent
2022/5/14,12,2,total,critical
2022/5/14,12,1,total,urgent
2022/5/14,14,1,total,acute
2022/5/14,15,1,total,acute
2022/5/14,16,2,total,critical
2022/5/14,20,1,total,critical
2022/5/14,21,1,total,acute
2022/5/14,22,1,total,acute
2022/5/14,23,1,total,acute
2022/5/15,1,1,total,critical
2022/5/15,2,1,total,acute
2022/5/15,10,2,total,critical
2022/5/15,11,1,total,critical
2022/5/15,12,2,total,critical
2022/5/15,12,1,total,acute
2022/5/15,14,2,total,critical
2022/5/15,14,1,total,acute
2022/5/15,15,1,total,acute
2022/5/15,17,1,total,critical
2022/4/6,17,1,other,urgent
2022/4/6,18,1,goods,urgent
2022/4/6,19,1,goods,urgent
2022/4/6,20,2,disease,acute
2022/4/6,20,1,other,urgent
2022/4/6,20,2,goods,urgent
2022/4/6,21,1,disease,acute
2022/4/6,21,1,other,urgent
2022/4/6,21,1,goods,urgent
2022/4/6,22,2,serious,critical
2022/4/6,22,1,disease,acute
2022/4/6,22,1,other,urgent
2022/4/6,22,3,goods,urgent
2022/4/6,23,2,serious,critical
2022/4/6,23,4,disease,acute
2022/4/6,23,1,other,urgent
2022/4/6,23,7,goods,urgent
2022/4/7,24,1,serious,critical
2022/4/7,24,1,disease,acute
2022/4/7,24,4,other,urgent
2022/4/7,24,6,goods,urgent
2022/4/7,1,1,serious,critical
2022/4/7,1,1,goods,urgent
2022/4/7,2,1,serious,critical
2022/4/7,2,1,disease,acute
2022/4/7,2,2,goods,urgent
2022/4/7,3,1,disease,acute
2022/4/7,4,1,other,urgent
2022/4/7,5,1,goods,urgent
2022/4/7,6,3,serious,critical
2022/4/7,6,1,disease,acute
2022/4/7,6,2,goods,urgent
2022/4/7,7,4,disease,acute
2022/4/7,7,1,goods,urgent
2022/4/7,8,3,serious,critical
2022/4/7,8,5,disease,acute
2022/4/7,8,1,other,urgent
2022/4/7,8,2,goods,urgent
2022/4/7,9,2,serious,critical
2022/4/7,9,3,disease,acute
2022/4/7,9,4,goods,urgent
2022/4/7,10,1,serious,critical
2022/4/7,10,4,disease,acute
2022/4/7,10,1,other,urgent
2022/4/7,10,3,goods,urgent
2022/4/7,11,1,serious,critical
2022/4/7,11,3,disease,acute
2022/4/7,11,8,goods,urgent
2022/4/7,12,3,serious,critical
2022/4/7,12,3,disease,acute
2022/4/7,12,1,other,urgent
2022/4/7,12,4,goods,urgent
2022/4/7,13,3,serious,critical
2022/4/7,13,4,disease,acute
2022/4/7,13,7,goods,urgent
2022/4/7,14,1,serious,critical
2022/4/7,14,4,disease,acute
2022/4/7,14,2,other,urgent
2022/4/7,14,4,goods,urgent
2022/4/7,15,1,disease,acute
2022/4/7,15,1,other,urgent
2022/4/7,15,8,goods,urgent
2022/4/7,17,1,serious,critical
2022/4/7,17,3,disease,acute
2022/4/7,17,1,other,urgent
2022/4/7,17,1,goods,urgent
2022/4/7,18,1,serious,critical
2022/4/7,18,3,disease,acute
2022/4/7,18,4,goods,urgent
2022/4/7,19,1,serious,critical
2022/4/7,19,3,disease,acute
2022/4/7,19,5,goods,urgent
2022/4/7,20,5,disease,acute
2022/4/7,20,1,other,urgent
2022/4/7,20,8,goods,urgent
2022/4/7,21,9,disease,acute
2022/4/7,21,5,other,urgent
2022/4/7,21,11,goods,urgent
2022/4/7,22,1,serious,critical
2022/4/7,22,1,other,acute
2022/4/7,22,1,pregnant,acute
2022/4/7,22,5,disease,acute
2022/4/7,22,1,pregnant,urgent
2022/4/7,22,4,goods,urgent
2022/4/7,23,1,serious,critical
2022/4/7,23,1,goods,acute
2022/4/7,23,6,disease,acute
2022/4/7,23,2,other,urgent
2022/4/7,23,7,goods,urgent
2022/4/8,24,4,serious,critical
2022/4/8,24,1,goods,acute
2022/4/8,24,9,disease,acute
2022/4/8,24,1,other,urgent
2022/4/8,24,8,goods,urgent
2022/4/8,1,2,disease,acute
2022/4/8,1,2,other,urgent
2022/4/8,1,2,goods,urgent
2022/4/8,2,1,serious,critical
2022/4/8,2,1,other,urgent
2022/4/8,2,2,goods,urgent
2022/4/8,3,2,serious,critical
2022/4/8,3,1,disease,acute
2022/4/8,3,2,other,urgent
2022/4/8,4,2,disease,acute
2022/4/8,5,1,disease,acute
2022/4/8,5,1,other,urgent
2022/4/8,6,1,serious,critical
2022/4/8,6,2,disease,acute
2022/4/8,6,2,other,urgent
2022/4/8,6,9,goods,urgent
2022/4/8,7,2,other,acute
2022/4/8,7,7,disease,acute
2022/4/8,7,7,goods,urgent
2022/4/8,8,2,serious,critical
2022/4/8,8,7,disease,acute
2022/4/8,8,2,other,urgent
2022/4/8,8,1,pregnant,urgent
2022/4/8,8,6,goods,urgent
2022/4/8,9,2,serious,critical
2022/4/8,9,6,disease,acute
2022/4/8,9,2,other,urgent
2022/4/8,9,8,goods,urgent
2022/4/8,10,1,serious,critical
2022/4/8,10,1,pregnant,acute
2022/4/8,10,6,disease,acute
2022/4/8,10,6,other,urgent
2022/4/8,10,7,goods,urgent
2022/4/8,11,2,serious,critical
2022/4/8,11,7,disease,acute
2022/4/8,11,2,other,urgent
2022/4/8,11,9,goods,urgent
2022/4/8,12,4,serious,critical
2022/4/8,12,12,disease,acute
2022/4/8,12,9,goods,urgent
2022/4/8,13,1,serious,critical
2022/4/8,13,8,disease,acute
2022/4/8,13,3,other,urgent
2022/4/8,13,1,pregnant,urgent
2022/4/8,13,7,goods,urgent
2022/4/8,14,3,serious,critical
2022/4/8,14,9,disease,acute
2022/4/8,14,7,goods,urgent
2022/4/8,15,1,serious,critical
2022/4/8,15,10,disease,acute
2022/4/8,15,2,other,urgent
2022/4/8,15,6,goods,urgent
2022/4/8,16,2,serious,critical
2022/4/8,16,14,disease,acute
2022/4/8,16,2,other,urgent
2022/4/8,16,10,goods,urgent
2022/4/8,17,3,serious,critical
2022/4/8,17,13,disease,acute
2022/4/8,17,3,other,urgent
2022/4/8,17,5,goods,urgent
2022/4/8,18,2,serious,critical
2022/4/8,18,10,disease,acute
2022/4/8,18,1,other,urgent
2022/4/8,18,10,goods,urgent
2022/4/8,19,4,serious,critical
2022/4/8,19,20,disease,acute
2022/4/8,19,8,other,urgent
2022/4/8,19,1,pregnant,urgent
2022/4/8,19,18,goods,urgent
2022/4/8,20,8,serious,critical
2022/4/8,20,1,pregnant,acute
2022/4/8,20,20,disease,acute
2022/4/8,20,1,other,urgent
2022/4/8,20,8,goods,urgent
2022/4/8,21,8,serious,critical
2022/4/8,21,22,disease,acute
2022/4/8,21,1,other,urgent
2022/4/8,21,1,pregnant,urgent
2022/4/8,21,12,goods,urgent
2022/4/8,22,7,serious,critical
2022/4/8,22,18,disease,acute
2022/4/8,22,6,other,urgent
2022/4/8,22,10,goods,urgent
2022/4/8,23,7,serious,critical
2022/4/8,23,15,disease,acute
2022/4/8,23,2,other,urgent
2022/4/8,23,9,goods,urgent
2022/4/9,24,11,disease,acute
2022/4/9,24,6,goods,urgent
2022/4/9,1,1,serious,critical
2022/4/9,1,7,disease,acute
2022/4/9,1,2,other,urgent
2022/4/9,1,1,pregnant,urgent
2022/4/9,1,5,goods,urgent
2022/4/9,2,1,serious,critical
2022/4/9,2,2,disease,acute
2022/4/9,2,2,goods,urgent
2022/4/9,3,1,serious,critical
2022/4/9,4,1,serious,critical
2022/4/9,4,1,disease,acute
2022/4/9,4,1,goods,urgent
2022/4/9,5,1,disease,acute
2022/4/9,6,4,disease,acute
2022/4/9,6,4,goods,urgent
2022/4/9,7,2,serious,critical
2022/4/9,7,5,disease,acute
2022/4/9,7,6,goods,urgent
2022/4/9,8,5,serious,critical
2022/4/9,8,4,disease,acute
2022/4/9,8,4,goods,urgent
2022/4/9,9,2,serious,critical
2022/4/9,9,6,disease,acute
2022/4/9,9,1,other,urgent
2022/4/9,9,2,pregnant,urgent
2022/4/9,9,4,goods,urgent
2022/4/9,10,5,serious,critical
2022/4/9,10,11,disease,acute
2022/4/9,10,1,pregnant,urgent
2022/4/9,10,5,goods,urgent
2022/4/9,11,7,disease,acute
2022/4/9,11,3,other,urgent
2022/4/9,11,6,goods,urgent
2022/4/9,12,3,serious,critical
2022/4/9,12,11,disease,acute
2022/4/9,12,7,goods,urgent
2022/4/9,13,4,serious,critical
2022/4/9,13,10,disease,acute
2022/4/9,13,2,other,urgent
2022/4/9,13,6,goods,urgent
2022/4/9,14,1,disease,acute
2022/4/9,14,1,other,urgent
2022/4/9,14,1,pregnant,urgent
2022/4/9,15,1,serious,critical
2022/4/9,15,7,disease,acute
2022/4/9,15,2,other,urgent
2022/4/9,15,4,goods,urgent
2022/4/9,16,4,serious,critical
2022/4/9,16,6,disease,acute
2022/4/9,16,2,goods,urgent
2022/4/9,17,2,serious,critical
2022/4/9,17,4,disease,acute
2022/4/9,17,2,other,urgent
2022/4/9,17,3,goods,urgent
2022/4/9,18,2,serious,critical
2022/4/9,18,1,pregnant,acute
2022/4/9,18,4,disease,acute
2022/4/9,18,2,goods,urgent
2022/4/9,19,2,serious,critical
2022/4/9,19,1,other,acute
2022/4/9,19,6,disease,acute
2022/4/9,19,1,other,urgent
2022/4/9,19,2,goods,urgent
2022/4/9,20,3,serious,critical
2022/4/9,20,1,other,acute
2022/4/9,20,4,disease,acute
2022/4/9,20,1,other,urgent
2022/4/9,20,2,goods,urgent
2022/4/9,21,4,serious,critical
2022/4/9,21,1,pregnant,acute
2022/4/9,21,4,disease,acute
2022/4/9,21,1,other,urgent
2022/4/9,21,5,goods,urgent
2022/4/9,22,2,serious,critical
2022/4/9,22,9,disease,acute
2022/4/9,22,2,other,urgent
2022/4/9,22,4,goods,urgent
2022/4/9,23,3,serious,critical
2022/4/9,23,9,disease,acute
2022/4/9,23,2,other,urgent
2022/4/9,23,3,goods,urgent
2022/4/10,24,7,serious,critical
2022/4/10,24,10,disease,acute
2022/4/10,24,2,other,urgent
2022/4/10,24,5,goods,urgent
2022/4/10,1,2,serious,critical
2022/4/10,1,15,disease,acute
2022/4/10,1,1,other,urgent
2022/4/10,1,6,goods,urgent
2022/4/10,2,2,serious,critical
2022/4/10,2,7,disease,acute
2022/4/10,2,1,other,urgent
2022/4/10,2,5,goods,urgent
2022/4/10,3,3,disease,acute
2022/4/10,3,1,other,urgent
2022/4/10,3,1,goods,urgent
2022/4/10,4,1,serious,critical
2022/4/10,4,4,disease,acute
2022/4/10,4,2,goods,urgent
2022/4/10,5,2,serious,critical
2022/4/10,5,1,disease,acute
2022/4/10,6,1,serious,critical
2022/4/10,6,1,goods,acute
2022/4/10,6,16,disease,acute
2022/4/10,6,1,other,urgent
2022/4/10,6,12,goods,urgent
2022/4/10,7,6,serious,critical
2022/4/10,7,2,pregnant,acute
2022/4/10,7,18,disease,acute
2022/4/10,7,3,other,urgent
2022/4/10,7,20,goods,urgent
2022/4/10,8,17,serious,critical
2022/4/10,8,1,pregnant,acute
2022/4/10,8,45,disease,acute
2022/4/10,8,4,other,urgent
2022/4/10,8,2,pregnant,urgent
2022/4/10,8,19,goods,urgent
2022/4/10,9,35,serious,critical
2022/4/10,9,2,pregnant,acute
2022/4/10,9,87,disease,acute
2022/4/10,9,9,other,urgent
2022/4/10,9,2,pregnant,urgent
2022/4/10,9,33,goods,urgent
2022/4/10,10,53,serious,critical
2022/4/10,10,1,other,acute
2022/4/10,10,1,pregnant,acute
2022/4/10,10,124,disease,acute
2022/4/10,10,17,other,urgent
2022/4/10,10,2,pregnant,urgent
2022/4/10,10,69,goods,urgent
2022/4/10,11,1,disease,critical
2022/4/10,11,32,serious,critical
2022/4/10,11,1,pregnant,acute
2022/4/10,11,1,goods,acute
2022/4/10,11,82,disease,acute
2022/4/10,11,9,other,urgent
2022/4/10,11,3,pregnant,urgent
2022/4/10,11,30,goods,urgent
2022/4/10,12,2,serious,critical
2022/4/10,18,8,serious,critical
2022/4/10,18,21,disease,acute
2022/4/10,18,2,other,urgent
2022/4/10,18,1,goods,urgent
2022/4/10,19,12,serious,critical
2022/4/10,19,17,disease,acute
2022/4/10,19,3,other,urgent
2022/4/10,19,1,pregnant,urgent
2022/4/10,19,4,goods,urgent
2022/4/10,20,19,serious,critical
2022/4/10,20,31,disease,acute
2022/4/10,20,4,other,urgent
2022/4/10,20,2,pregnant,urgent
2022/4/10,20,2,goods,urgent
2022/4/10,21,4,serious,critical
2022/4/10,21,17,disease,acute
2022/4/10,21,3,other,urgent
2022/4/10,21,1,pregnant,urgent
2022/4/10,21,4,goods,urgent
2022/4/10,22,9,serious,critical
2022/4/10,22,18,disease,acute
2022/4/10,22,2,other,urgent
2022/4/10,22,1,pregnant,urgent
2022/4/10,22,7,goods,urgent
2022/4/10,23,8,serious,critical
2022/4/10,23,15,disease,acute
2022/4/10,23,4,goods,urgent
2022/4/11,24,4,serious,critical
2022/4/11,24,25,disease,acute
2022/4/11,24,2,other,urgent
2022/4/11,24,1,goods,urgent
2022/4/11,1,2,serious,critical
2022/4/11,1,16,disease,acute
2022/4/11,1,5,goods,urgent
2022/4/11,2,1,serious,critical
2022/4/11,2,1,disease,acute
2022/4/11,2,4,goods,urgent
2022/4/11,3,3,serious,critical
2022/4/11,3,3,disease,acute
2022/4/11,4,1,serious,critical
2022/4/11,4,2,disease,acute
2022/4/11,4,1,other,urgent
2022/4/11,5,3,disease,acute
2022/4/11,6,4,serious,critical
2022/4/11,6,8,disease,acute
2022/4/11,6,2,other,urgent
2022/4/11,6,3,goods,urgent
2022/4/11,10,1,unkonw,acute
2022/4/11,11,1,serious,critical
2022/4/11,11,2,disease,acute
2022/4/11,12,1,disease,critical
2022/4/11,12,1,disease,acute
2022/4/11,12,1,serious,acute
2022/4/11,13,1,goods,critical
2022/4/11,13,4,serious,critical
2022/4/11,13,2,other,acute
2022/4/11,13,8,disease,acute
2022/4/11,13,1,serious,acute
2022/4/11,13,1,goods,urgent
2022/4/11,13,1,disease,urgent
2022/4/11,14,1,other,critical
2022/4/11,14,2,goods,critical
2022/4/11,14,9,serious,critical
2022/4/11,14,2,pregnant,acute
2022/4/11,14,21,disease,acute
2022/4/11,14,6,other,urgent
2022/4/11,14,3,goods,urgent
2022/4/11,15,7,serious,critical
2022/4/11,15,13,disease,acute
2022/4/11,15,1,serious,acute
2022/4/11,15,9,goods,urgent
2022/4/11,16,6,serious,critical
2022/4/11,16,1,pregnant,acute
2022/4/11,16,11,disease,acute
2022/4/11,16,1,serious,acute
2022/4/11,16,1,other,urgent
2022/4/11,16,7,goods,urgent
2022/4/11,17,1,disease,critical
2022/4/11,17,1,serious,critical
2022/4/11,17,8,disease,acute
2022/4/11,17,4,other,urgent
2022/4/11,17,1,pregnant,urgent
2022/4/11,17,1,goods,urgent
2022/4/11,18,4,serious,critical
2022/4/11,18,9,disease,acute
2022/4/11,18,1,goods,urgent
2022/4/11,18,1,disease,urgent
2022/4/11,18,1,serious,urgent
2022/4/11,19,6,disease,critical
2022/4/11,19,2,serious,critical
2022/4/11,19,1,goods,acute
2022/4/11,19,6,disease,acute
2022/4/11,19,3,other,urgent
2022/4/11,19,2,goods,urgent
2022/4/11,20,2,disease,critical
2022/4/11,20,5,serious,critical
2022/4/11,20,3,disease,acute
2022/4/11,20,3,serious,acute
2022/4/11,20,1,goods,urgent
2022/4/11,20,1,disease,urgent
2022/4/11,21,1,disease,critical
2022/4/11,21,2,serious,critical
2022/4/11,21,2,pregnant,acute
2022/4/11,21,5,disease,acute
2022/4/11,21,1,serious,acute
2022/4/11,21,1,other,urgent
2022/4/11,21,2,goods,urgent
2022/4/11,22,1,other,critical
2022/4/11,22,1,goods,critical
2022/4/11,22,1,disease,critical
2022/4/11,22,6,serious,critical
2022/4/11,22,1,other,acute
2022/4/11,22,5,disease,acute
2022/4/11,22,1,other,urgent
2022/4/11,22,1,goods,urgent
2022/4/11,23,1,other,critical
2022/4/11,23,3,disease,critical
2022/4/11,23,4,serious,critical
2022/4/11,23,1,other,acute
2022/4/11,23,1,goods,acute
2022/4/11,23,7,disease,acute
2022/4/11,23,1,pregnant,urgent
2022/4/11,23,1,goods,urgent
2022/4/11,23,1,disease,urgent
2022/4/12,24,1,serious,critical
2022/4/12,24,2,disease,acute
2022/4/12,24,2,goods,urgent
2022/4/12,24,1,disease,urgent
2022/4/12,1,1,serious,critical
2022/4/12,1,6,disease,acute
2022/4/12,2,1,other,acute
2022/4/12,2,1,goods,acute
2022/4/12,3,1,other,acute
2022/4/12,4,1,pregnant,urgent
2022/4/12,5,1,serious,critical
2022/4/12,5,2,disease,acute
2022/4/12,5,1,goods,urgent
2022/4/12,6,1,serious,critical
2022/4/12,6,1,disease,acute
2022/4/12,6,1,other,urgent
2022/4/12,6,1,goods,urgent
2022/4/12,7,1,goods,critical
2022/4/12,7,1,goods,acute
2022/4/12,7,4,disease,acute
2022/4/12,7,2,other,urgent
2022/4/12,7,2,goods,urgent
2022/4/12,8,1,other,critical
2022/4/12,8,2,disease,critical
2022/4/12,8,2,serious,critical
2022/4/12,8,1,goods,acute
2022/4/12,8,2,disease,acute
2022/4/12,8,1,goods,urgent
2022/4/12,9,1,goods,acute
2022/4/12,9,5,disease,acute
2022/4/12,9,1,other,urgent
2022/4/12,9,4,goods,urgent
2022/4/12,10,1,other,critical
2022/4/12,10,1,goods,critical
2022/4/12,10,1,disease,critical
2022/4/12,10,8,serious,critical
2022/4/12,10,11,disease,acute
2022/4/12,10,1,other,urgent
2022/4/12,10,3,goods,urgent
2022/4/12,11,1,goods,critical
2022/4/12,11,6,serious,critical
2022/4/12,11,9,disease,acute
2022/4/12,11,3,other,urgent
2022/4/12,11,5,goods,urgent
2022/4/12,11,1,serious,urgent
2022/4/12,12,2,other,critical
2022/4/12,12,2,disease,critical
2022/4/12,12,4,serious,critical
2022/4/12,12,1,goods,acute
2022/4/12,12,13,disease,acute
2022/4/12,12,3,other,urgent
2022/4/12,12,3,goods,urgent
2022/4/12,12,1,serious,urgent
2022/4/12,13,2,serious,critical
2022/4/12,13,11,disease,acute
2022/4/12,13,1,other,urgent
2022/4/12,13,4,goods,urgent
2022/4/12,14,5,serious,critical
2022/4/12,14,4,disease,acute
2022/4/12,14,1,other,urgent
2022/4/12,14,2,goods,urgent
2022/4/12,15,5,serious,critical
2022/4/12,15,1,other,acute
2022/4/12,15,6,disease,acute
2022/4/12,15,1,other,urgent
2022/4/12,15,4,goods,urgent
2022/4/12,16,1,other,critical
2022/4/12,16,3,disease,critical
2022/4/12,16,9,serious,critical
2022/4/12,16,8,disease,acute
2022/4/12,16,1,serious,acute
2022/4/12,16,3,other,urgent
2022/4/12,16,5,goods,urgent
2022/4/12,17,1,goods,critical
2022/4/12,17,7,serious,critical
2022/4/12,17,6,other,acute
2022/4/12,17,11,disease,acute
2022/4/12,17,1,serious,acute
2022/4/12,17,1,other,urgent
2022/4/12,17,2,goods,urgent
2022/4/12,17,1,serious,urgent
2022/4/12,18,2,serious,critical
2022/4/12,18,4,disease,acute
2022/4/12,18,3,goods,urgent
2022/4/12,19,1,disease,critical
2022/4/12,19,4,serious,critical
2022/4/12,19,1,disease,acute
2022/4/12,19,2,goods,urgent
2022/4/12,20,1,serious,critical
2022/4/12,20,6,disease,acute
2022/4/12,20,1,serious,acute
2022/4/12,20,1,other,urgent
2022/4/12,20,2,goods,urgent
2022/4/12,21,1,other,critical
2022/4/12,21,4,serious,critical
2022/4/12,21,11,disease,acute
2022/4/12,21,1,other,urgent
2022/4/12,21,1,goods,urgent
2022/4/12,22,1,disease,critical
2022/4/12,22,4,serious,critical
2022/4/12,22,11,disease,acute
2022/4/12,23,2,disease,acute
2022/4/12,23,3,goods,urgent
2022/4/13,24,1,serious,critical
2022/4/13,24,4,disease,acute
2022/4/13,24,1,other,urgent
2022/4/13,1,2,serious,critical
2022/4/13,1,3,disease,acute
2022/4/13,1,1,other,urgent
2022/4/13,1,2,goods,urgent
2022/4/13,2,3,disease,acute
2022/4/13,3,1,serious,critical
2022/4/13,4,1,serious,critical
2022/4/13,4,1,other,urgent
2022/4/13,5,1,serious,critical
2022/4/13,5,1,disease,acute
2022/4/13,5,1,pregnant,urgent
2022/4/13,6,2,serious,critical
2022/4/13,6,2,disease,acute
2022/4/13,6,1,other,urgent
2022/4/13,6,2,goods,urgent
2022/4/13,7,1,goods,critical
2022/4/13,7,1,serious,critical
2022/4/13,7,1,goods,acute
2022/4/13,7,9,disease,acute
2022/4/13,7,1,other,urgent
2022/4/13,7,3,goods,urgent
2022/4/13,8,2,serious,critical
2022/4/13,8,4,disease,acute
2022/4/13,8,1,other,urgent
2022/4/13,8,4,goods,urgent
2022/4/13,9,2,disease,critical
2022/4/13,9,1,serious,critical
2022/4/13,9,5,disease,acute
2022/4/13,9,1,goods,urgent
2022/4/13,10,12,serious,critical
2022/4/13,10,21,disease,acute
2022/4/13,10,6,other,urgent
2022/4/13,10,1,pregnant,urgent
2022/4/13,10,5,goods,urgent
2022/4/13,11,21,serious,critical
2022/4/13,11,57,disease,acute
2022/4/13,11,11,other,urgent
2022/4/13,11,2,pregnant,urgent
2022/4/13,11,26,goods,urgent
2022/4/13,12,1,disease,critical
2022/4/13,12,40,serious,critical
2022/4/13,12,106,disease,acute
2022/4/13,12,14,other,urgent
2022/4/13,12,1,pregnant,urgent
2022/4/13,12,30,goods,urgent
2022/4/13,13,53,serious,critical
2022/4/13,13,1,pregnant,acute
2022/4/13,13,87,disease,acute
2022/4/13,13,16,other,urgent
2022/4/13,13,4,pregnant,urgent
2022/4/13,13,32,goods,urgent
2022/4/13,14,55,serious,critical
2022/4/13,14,1,pregnant,acute
2022/4/13,14,121,disease,acute
2022/4/13,14,25,other,urgent
2022/4/13,14,4,pregnant,urgent
2022/4/13,14,36,goods,urgent
2022/4/13,15,44,serious,critical
2022/4/13,15,1,goods,acute
2022/4/13,15,76,disease,acute
2022/4/13,15,14,other,urgent
2022/4/13,15,1,pregnant,urgent
2022/4/13,15,22,goods,urgent
2022/4/13,15,1,disease,urgent
2022/4/13,16,29,serious,critical
2022/4/13,16,93,disease,acute
2022/4/13,16,1,serious,acute
2022/4/13,16,13,other,urgent
2022/4/13,16,2,pregnant,urgent
2022/4/13,16,27,goods,urgent
2022/4/13,16,1,disease,urgent
2022/4/13,17,1,other,critical
2022/4/13,17,3,goods,critical
2022/4/13,17,1,disease,critical
2022/4/13,17,39,serious,critical
2022/4/13,17,1,goods,acute
2022/4/13,17,77,disease,acute
2022/4/13,17,13,other,urgent
2022/4/13,17,29,goods,urgent
2022/4/13,18,1,other,critical
2022/4/13,18,5,goods,critical
2022/4/13,18,30,serious,critical
2022/4/13,18,2,other,acute
2022/4/13,18,1,pregnant,acute
2022/4/13,18,1,goods,acute
2022/4/13,18,84,disease,acute
2022/4/13,18,16,other,urgent
2022/4/13,18,4,pregnant,urgent
2022/4/13,18,17,goods,urgent
2022/4/13,19,1,goods,critical
2022/4/13,19,30,serious,critical
2022/4/13,19,2,goods,acute
2022/4/13,19,84,disease,acute
2022/4/13,19,9,other,urgent
2022/4/13,19,2,pregnant,urgent
2022/4/13,19,23,goods,urgent
2022/4/13,20,3,other,critical
2022/4/13,20,1,goods,critical
2022/4/13,20,2,disease,critical
2022/4/13,20,25,serious,critical
2022/4/13,20,2,other,acute
2022/4/13,20,3,pregnant,acute
2022/4/13,20,65,disease,acute
2022/4/13,20,13,other,urgent
2022/4/13,20,3,pregnant,urgent
2022/4/13,20,16,goods,urgent
2022/4/13,21,2,goods,critical
2022/4/13,21,27,serious,critical
2022/4/13,21,1,other,acute
2022/4/13,21,1,goods,acute
2022/4/13,21,52,disease,acute
2022/4/13,21,2,serious,acute
2022/4/13,21,5,other,urgent
2022/4/13,21,3,pregnant,urgent
2022/4/13,21,26,goods,urgent
2022/4/13,22,3,other,critical
2022/4/13,22,2,disease,critical
2022/4/13,22,31,serious,critical
2022/4/13,22,2,other,acute
2022/4/13,22,1,goods,acute
2022/4/13,22,50,disease,acute
2022/4/13,22,8,other,urgent
2022/4/13,22,1,pregnant,urgent
2022/4/13,22,15,goods,urgent
2022/4/13,23,1,goods,critical
2022/4/13,23,1,disease,critical
2022/4/13,23,23,serious,critical
2022/4/13,23,1,other,acute
2022/4/13,23,1,pregnant,acute
2022/4/13,23,1,goods,acute
2022/4/13,23,52,disease,acute
2022/4/13,23,1,serious,acute
2022/4/13,23,8,other,urgent
2022/4/13,23,13,goods,urgent
2022/4/13,23,1,disease,urgent
2022/4/14,24,1,other,critical
2022/4/14,24,1,goods,critical
2022/4/14,24,25,serious,critical
2022/4/14,24,1,goods,acute
2022/4/14,24,50,disease,acute
2022/4/14,24,2,serious,acute
2022/4/14,24,9,other,urgent
2022/4/14,24,3,pregnant,urgent
2022/4/14,24,11,goods,urgent
2022/4/14,1,12,serious,critical
2022/4/14,1,1,other,acute
2022/4/14,1,1,goods,acute
2022/4/14,1,21,disease,acute
2022/4/14,1,9,other,urgent
2022/4/14,1,5,goods,urgent
2022/4/14,2,2,other,critical
2022/4/14,2,1,goods,critical
2022/4/14,2,1,disease,critical
2022/4/14,2,9,serious,critical
2022/4/14,2,16,disease,acute
2022/4/14,2,1,serious,acute
2022/4/14,2,6,other,urgent
2022/4/14,2,8,goods,urgent
2022/4/14,2,2,disease,urgent
2022/4/14,3,1,goods,critical
2022/4/14,3,7,serious,critical
2022/4/14,3,2,pregnant,acute
2022/4/14,3,12,disease,acute
2022/4/14,3,3,other,urgent
2022/4/14,3,4,goods,urgent
2022/4/14,3,4,disease,urgent
2022/4/14,4,1,serious,critical
2022/4/14,4,1,goods,acute
2022/4/14,4,1,disease,acute
2022/4/14,4,1,disease,urgent
2022/4/14,5,1,goods,critical
2022/4/14,5,1,disease,critical
2022/4/14,5,2,serious,critical
2022/4/14,6,1,goods,critical
2022/4/14,6,3,serious,critical
2022/4/14,6,1,goods,acute
2022/4/14,6,3,disease,acute
2022/4/14,6,1,other,urgent
2022/4/14,6,4,goods,urgent
2022/4/14,6,2,disease,urgent
2022/4/14,7,4,goods,critical
2022/4/14,7,1,disease,critical
2022/4/14,7,6,serious,critical
2022/4/14,7,1,goods,acute
2022/4/14,8,1,other,critical
2022/4/14,8,1,goods,critical
2022/4/14,8,2,disease,critical
2022/4/14,8,9,serious,critical
2022/4/14,8,1,goods,acute
2022/4/14,8,5,disease,acute
2022/4/14,8,1,goods,urgent
2022/4/14,9,1,other,critical
2022/4/14,9,2,goods,critical
